Elektrode nr ,X,Y,Z
0.0,613176.2,6651047.5,138.3285
1.0,613176.9833333333,6651047.066666666,138.42058
2.0,613177.7666666666,6651046.633333334,138.3331
3.0,613178.55,6651046.2,138.38628
4.0,613179.3333333334,6651045.766666667,138.40259
5.0,613180.1166666667,6651045.333333334,138.49347
6.0,613180.9,6651044.9,138.41264
7.0,613181.8833333333,6651044.266666667,138.45802
8.0,613182.8666666667,6651043.633333334,138.45694
9.0,613183.8500000001,6651043.0,138.46191
10.0,613184.8333333334,6651042.366666666,138.47285
11.0,613185.8166666667,6651041.733333333,138.47939
12.0,613186.8,6651041.1,138.58313
13.0,613187.6000000001,6651040.625,138.69994
14.0,613188.4,6651040.149999999,138.69994
15.0,613189.2,6651039.675,138.84122
16.0,613190.0,6651039.199999999,138.78262
17.0,613190.8,6651038.725,138.87318
18.0,613191.6,6651038.25,138.87318
19.0,613192.3999999999,6651037.774999999,138.96634
20.0,613193.2,6651037.3,138.9088
21.0,613194.2999999999,6651036.766666667,139.02155
22.0,613195.4,6651036.233333333,139.16814
23.0,613196.5,6651035.7,139.139
24.0,613197.4076923077,6651035.169230769,139.28447
25.0,613198.3153846154,6651034.638461539,139.27208
26.0,613199.223076923,6651034.107692308,139.38283
27.0,613200.1307692308,6651033.576923077,139.52075
28.0,613201.0384615385,6651033.046153846,139.46559
29.0,613201.9461538462,6651032.515384615,139.5071
30.0,613202.8538461538,6651031.984615385,139.56369
31.0,613203.7615384615,6651031.453846154,139.49315
32.0,613204.6692307693,6651030.923076923,139.56973
33.0,613205.576923077,6651030.392307692,139.48071
34.0,613206.4846153846,6651029.861538461,139.55933
35.0,613207.3923076923,6651029.330769231,139.5789
36.0,613208.3,6651028.8,139.5368
37.0,613209.1727272727,6651028.290909091,139.57005
38.0,613210.0454545455,6651027.781818181,139.57831
39.0,613210.9181818182,6651027.2727272725,139.5893
40.0,613211.7909090909,6651026.763636364,139.56985
41.0,613212.6636363637,6651026.254545455,139.59355
42.0,613213.5363636364,6651025.745454545,139.59515
43.0,613214.4090909092,6651025.236363636,139.66612
44.0,613215.2818181819,6651024.7272727275,139.68306
45.0,613216.1545454545,6651024.218181819,139.7885
46.0,613217.0272727273,6651023.709090909,139.68196
47.0,613217.9,6651023.2,139.69942
48.0,613218.7645833334,6651022.729166667,139.73969
49.0,613219.6291666667,6651022.258333334,139.70743
50.0,613220.49375,6651021.787500001,139.73402
51.0,613221.3583333334,6651021.316666666,139.72554
52.0,613222.2229166667,6651020.845833333,139.69797
53.0,613223.0875,6651020.375,139.76485
54.0,613223.9520833334,6651019.904166667,139.72545
55.0,613224.8166666667,6651019.433333334,139.7739
56.0,613225.68125,6651018.9625,139.84789
57.0,613226.5458333334,6651018.491666667,139.84789
58.0,613227.4104166667,6651018.020833333,139.97496
59.0,613228.275,6651017.55,139.87544
60.0,613229.1395833334,6651017.079166667,139.98492
61.0,613230.0041666667,6651016.608333333,139.85216
62.0,613230.86875,6651016.1375,140.06905
63.0,613231.7333333334,6651015.666666667,139.90425
64.0,613232.5979166667,6651015.195833334,140.0193
65.0,613233.4625,6651014.725,139.87894
66.0,613234.3270833334,6651014.254166666,140.01982
67.0,613235.1916666667,6651013.783333333,140.13826
68.0,613236.05625,6651013.3125,140.13826
69.0,613236.9208333334,6651012.841666667,140.28197
70.0,613237.7854166667,6651012.370833334,140.10266
71.0,613238.65,6651011.9,140.31598
72.0,613239.5145833334,6651011.429166666,140.12157
73.0,613240.3791666667,6651010.958333333,140.4478
74.0,613241.24375,6651010.4875,140.22672
75.0,613242.1083333334,6651010.016666667,140.35568
76.0,613242.9729166667,6651009.545833333,140.47533
77.0,613243.8375,6651009.075,140.28212
78.0,613244.7020833334,6651008.604166666,140.41676
79.0,613245.5666666667,6651008.133333333,140.41676
80.0,613246.43125,6651007.6625,140.54724
81.0,613247.2958333334,6651007.191666666,140.32568
82.0,613248.1604166667,6651006.720833333,140.44658
83.0,613249.025,6651006.25,140.25893
84.0,613249.8895833334,6651005.779166667,140.54535
85.0,613250.7541666667,6651005.308333333,140.35638
86.0,613251.61875,6651004.837499999,140.3147
87.0,613252.4833333334,6651004.366666666,140.1995
88.0,613253.3479166667,6651003.895833333,140.1923
89.0,613254.2125,6651003.425,140.58717
90.0,613255.0770833334,6651002.954166667,140.58717
91.0,613255.9416666667,6651002.483333333,140.69902
92.0,613256.80625,6651002.012499999,140.56226
93.0,613257.6708333334,6651001.541666666,140.47029
94.0,613258.5354166667,6651001.070833333,140.50589
95.0,613259.4,6651000.6,140.50821
